 "V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106" "V107" "V108" "V109" "V110" "V111" "V112" "V113" "V114" "V115" "V116" "V117" "V118" "V119" "V120" "V121" "V122" "V123" "V124" "V125" "V126" "V127" "V128" "V129" "V130" "V131" "V132" "V133" "V134" "V135" "V136" "V137" "V138" "V139" "V140" "V141" "V142" "V143" "V144" "V145" "V146" "V147" "V148" "V149" "V150"
"1" 863 504 753 506 650 602 420 754 608 686 558 533 552 665 510 689 521 603 837 626 617 622 793 855 795 532 758 776 467 628 554 551 619 665 523 564 660 702 633 472 728 517 463 633 656 454 745 687 524 312 790 600 646 629 693 606 631 485 515 391 500 456 468 424 383 469 417 355 473 354 372 468 533 370 432 326 488 462 676 549 402 433 543 575 390 602 682 689 498 450 393 485 321 550 394 455 349 464 453 459 511 610 378 906 677 476 646 303 714 528 760 675 674 762 1089 1555 575 686 362 425 863 649 509 623 851 923 789 761 528 784 535 409 550 506 717 525 1056 570 707 727 780 721 531 454 496 514 698 647 569 572
"2" 79 53 0 0 25 1 36 39 0 19 12 0 50 8 36 54 22 67 87 0 21 61 36 26 0 2 11 84 0 17 26 43 28 33 16 1 16 0 1 0 25 33 11 0 0 5 75 35 0 12 10 16 11 13 9 29 74 35 0 59 50 57 2 6 0 0 68 42 52 24 0 26 16 62 24 2 6 0 21 3 36 79 158 121 186 237 695 339 942 425 806 608 829 604 899 710 872 671 520 577 523 34 17 1 0 1 49 0 31 34 0 21 19 42 1 2 9 46 14 17 11 1 16 0 0 3 0 1 1 0 0 1 29 0 6 0 12 40 0 7 63 54 16 0 6 16 0 19 25 4
"3" 133 83 49 124 89 164 123 35 84 250 82 46 188 141 155 89 165 321 122 619 68 136 128 142 115 91 95 133 83 93 103 98 90 50 211 117 141 165 93 109 187 217 348 74 74 309 37 94 32 155 50 0 100 21 78 25 111 23 85 54 38 103 151 79 251 85 65 150 164 166 52 108 179 79 31 17 60 148 110 12 173 285 145 120 182 73 131 59 88 151 109 56 73 125 180 96 65 104 89 46 72 74 96 83 129 123 154 196 128 51 21 111 30 101 176 96 125 241 228 515 1228 1663 1054 657 350 194 174 124 41 112 101 28 46 120 274 128 72 107 93 106 88 144 134 172 238 349 172 157 214 189
"4" 580 347 571 364 572 530 345 557 408 418 237 475 668 452 493 843 496 512 637 421 729 297 391 460 513 533 489 639 443 679 468 441 423 479 437 432 388 876 519 626 531 634 285 472 686 402 543 604 514 347 333 382 253 438 346 517 477 548 521 519 528 559 333 452 518 1018 807 1476 1045 626 783 871 608 706 548 529 868 850 797 706 377 357 695 650 696 719 853 525 827 814 771 727 688 592 793 894 644 516 728 608 656 425 354 347 419 354 339 371 320 381 488 428 458 485 480 452 224 487 291 485 550 366 302 596 406 426 320 156 558 261 384 341 410 389 226 546 338 334 397 517 689 466 329 406 389 463 440 460 406 356
"5" 107 63 155 112 118 76 98 282 292 127 499 0 61 60 386 106 227 177 108 416 247 130 74 85 70 359 495 63 241 179 87 119 123 117 289 143 193 65 203 826 190 103 143 188 138 759 111 86 308 136 108 219 538 314 428 272 549 269 329 177 149 146 134 107 415 92 135 78 157 334 152 397 478 118 220 344 144 110 134 405 495 293 274 386 404 155 102 209 99 243 145 158 49 99 228 242 47 120 118 166 359 110 289 73 77 193 324 156 130 103 128 320 65 67 121 103 73 239 133 415 81 106 255 171 110 139 52 205 58 207 109 185 47 259 213 90 28 193 89 116 43 127 667 45 61 87 120 83 361 122
"6" 1616 706 738 733 759 660 669 617 788 757 875 819 973 669 774 951 634 870 608 870 682 1045 641 662 665 657 790 472 814 659 774 805 553 658 750 880 827 610 757 823 664 865 716 1049 874 726 672 943 905 796 767 850 702 603 885 794 827 623 697 738 1154 912 1057 674 759 594 646 695 830 843 619 718 847 824 886 1072 707 874 718 681 853 931 736 1007 847 857 721 722 724 863 1188 890 677 712 1078 763 729 598 796 678 868 560 750 843 761 920 939 853 830 735 602 717 617 725 541 666 487 852 630 584 567 894 637 574 584 632 606 678 503 970 768 864 432 456 514 503 501 521 617 735 544 602 1215 603 767 644 582 613 779 689
"7" 383 142 173 96 99 180 77 74 45 50 115 53 47 47 91 66 41 59 76 23 6 103 63 105 51 49 35 147 67 51 42 55 49 5 16 47 15 103 41 93 127 134 105 42 70 126 31 0 4 15 31 35 72 7 85 32 12 15 45 4 0 62 1 107 45 29 42 0 53 32 0 22 0 0 107 1 22 0 91 27 0 33 0 10 23 27 1 38 29 0 0 0 69 0 37 31 25 17 34 1 25 119 46 109 84 109 90 40 86 105 128 69 98 79 113 205 95 119 107 133 38 114 170 137 259 70 174 98 88 91 135 94 152 264 374 403 284 427 504 500 722 444 334 502 675 777 978 605 488 409
"8" 561 398 255 408 433 412 363 419 309 455 365 586 684 562 407 473 397 419 390 349 384 483 362 444 446 301 462 510 271 336 434 423 594 447 319 381 242 336 618 347 595 444 687 402 328 571 565 970 567 479 1159 551 504 716 546 464 932 397 485 509 829 1077 1011 867 605 579 515 352 453 434 319 228 470 504 387 515 532 534 587 638 466 615 562 530 492 445 340 629 508 590 611 594 597 714 655 480 526 401 681 816 785 413 224 195 231 160 166 125 227 290 196 256 508 502 495 649 412 324 390 273 282 361 306 182 223 227 429 289 190 322 342 343 251 206 172 88 125 197 326 208 231 597 611 355 354 355 277 302 367 406
"9" 256 86 195 174 162 148 187 174 133 144 134 107 142 98 70 285 187 169 292 353 491 620 505 631 704 517 609 719 449 535 493 335 251 182 326 236 220 188 287 182 311 142 63 163 165 274 173 122 108 102 215 182 76 164 183 72 174 132 137 145 97 112 83 135 75 65 200 163 177 199 179 151 122 225 171 329 118 204 240 114 120 110 88 79 111 88 74 153 72 169 183 147 79 113 78 91 132 85 110 155 247 11 11 16 18 0 53 47 57 24 26 15 32 48 18 124 4 20 12 11 7 17 9 42 28 1 7 88 0 43 10 74 0 77 30 29 1 37 33 96 120 167 153 76 221 63 74 137 138 171
"10" 174 1 111 83 62 1 77 63 97 1 122 60 151 96 76 91 122 52 50 44 47 95 88 71 53 56 61 86 138 146 111 95 70 161 173 288 385 481 1075 256 1267 669 977 752 648 310 524 655 401 557 422 290 391 218 146 204 94 149 118 108 33 58 89 112 48 89 123 68 182 54 70 70 86 124 105 57 121 62 43 66 110 118 114 53 51 75 90 65 86 63 71 49 84 16 106 0 67 74 66 106 141 47 28 23 2 1 0 15 15 54 37 0 62 89 102 52 0 18 34 93 2 39 23 0 66 11 10 54 0 72 59 36 29 0 70 0 25 15 49 80 21 56 72 43 44 46 42 52 62 39
