"Var1" "Freq"
"1" "אשר" 64215
"2" "ה׳" 9941
"3" "ישראל" 8502
"4" "רו״כ" 7233
"5" "היהודים" 6494
"6" "הממשלה" 5543
"7" "10" 4961
"8" "קאפ׳" 4297
"9" "מכה״ע" 3732
"10" "רוסיא" 3710
"11" "ע״ד" 3445
"12" "ממשלת" 3411
"13" "אחינו" 3350
"14" "הקיסר" 3298
"15" "ע״י" 3083
"16" "ר׳" 3051
"17" "הנ״ל" 2927
"18" "15" 2894
"19" "אשכנז" 2852
"20" "ג׳" 2814
"21" "25" 2592
"22" "ע״פ" 2422
"23" "הצבא" 2311
"24" "ווארשא" 2244
"25" "ברלין" 2140
"26" "וכו׳" 2138
"27" "פראנק" 2066
"28" "30" 2021
"29" "50" 2014
"30" "100" 1806
"31" "המסחר" 1786
"32" "20" 1779
"33" "צרפת" 1756
"34" "000" 1708
"35" "24" 1708
"36" "מסחר" 1692
"37" "פלארין" 1679
"38" "ביסמארק" 1637
"39" "הכסף" 1597
"40" "המלך" 1534
"41" "יהודי" 1531
"42" "חו״ל" 1522
"43" "אתמול" 1483
"44" "12" 1438
"45" "בארצנו" 1407
"46" "מאי" 1401
"47" "שורה" 1386
"48" "אדות" 1364
"49" "בולגריא" 1356
"50" "אנגליא" 1345
"51" "מודעות" 1323
"52" "הברזל" 1309
"53" "תורה" 1309
"54" "״" 1307
"55" "השר" 1300
"56" "באשכנז" 1282
"57" "אוסטריא" 1277
"58" "בהצפירה" 1270
"59" "יהודים" 1270
"60" "כלם" 1269
"61" "לה׳" 1243
"62" "בישראל" 1225
"63" "הכל" 1215
"64" "ד״ר" 1191
"65" "צבא" 1191
"66" "וויען" 1176
"67" "המלחמה" 1166
"68" "והיה" 1160
"69" "הסוחרים" 1143
"70" "<U+2015>" 1142
"71" "75" 1142
"72" "יולי" 1141
"73" "e" 1136
"74" "איננו" 1133
"75" "11" 1126
"76" "מיט" 1126
"77" "המלאכה" 1124
"78" "שעה" 1123
"79" "הנבחרים" 1112
"80" "אירופא" 1111
"81" "מבית" 1111
"82" "פאריז" 1106
"83" "היהודי" 1105
"84" "לערך" 1096
"85" "בתור" 1087
"86" "המדינה" 1082
"87" "בשעה" 1073
"88" "המלכות" 1072
"89" "הרבנים" 1059
"90" "שפת" 1058
"91" "ירד" 1055
"92" "לפניו" 1051
"93" "שלש" 1051
"94" "אוגוסט" 1045
"95" "שהוא" 1045
"96" "אשה" 1038
"97" "הבירזא" 1034
"98" "יוצא" 1034
"99" "לשבת" 1033
"100" "מים" 1026
"101" "יוני" 1025
"102" "18" 1022
"103" "מכ״ע" 1022
"104" "הסופר" 1021
"105" "הדת" 1020
"106" "באמעריקא" 1018
"107" "עברו" 1007
"108" "הקהל" 1006
"109" "דין" 1005
"110" "אפריל" 1004
"111" "i" 1003
"112" "ואל" 1003
"113" "רע" 997
"114" "a" 995
"115" "השמועה" 995
"116" "בערך" 989
"117" "מחו״ל" 983
"118" "הד״ר" 981
"119" "העדה" 981
"120" "המחיר" 979
"121" "מאה" 978
"122" "קרא" 974
"123" "14" 971
"124" "ז״ל" 971
"125" "כלה" 969
"126" "הקוראים" 965
"127" "מלחמה" 965
"128" "הצדקה" 962
"129" "מה״ע" 960
"130" "לקנות" 956
"131" "16" 954
"132" "הסופרים" 952
"133" "40" 949
"134" "שנת" 947
"135" "לבני" 946
"136" "עבודה" 944
"137" "במחיר" 941
"138" "א׳" 939
"139" "לאיש" 939
"140" "13" 935
"141" "מאמרים" 934
"142" "מפי" 924
"143" "בספר" 923
"144" "האחרון" 922
"145" "הממשלות" 922
"146" "והיא" 922
"147" "פנים" 922
"148" "no" 912
"149" "ויאמר" 912
"150" "המשפט" 905
"151" "יבואו" 905
"152" "הנוצרים" 902
"153" "יקר" 899
"154" "הפרלמנט" 897
"155" "אש" 895
"156" "האשכנזים" 895
"157" "הממלכות" 894
"158" "בעולם" 892
"159" "ובכן" 892
"160" "משם" 891
"161" "ויש" 890
"162" "שבוע" 890
"163" "תקוה" 889
"164" "ושם" 888
"165" "אדרעססע" 886
"166" "המון" 886
"167" "ברחוב" 879
"168" "ליום" 878
"169" "אלהים" 877
"170" "ע״כ" 876
"171" "החולים" 871
"172" "לוא" 870
"173" "עניני" 867
"174" "שהיה" 867
"175" "פן" 865
"176" "ההצעה" 864
"177" "לעיר" 862
"178" "ליהודים" 860
"179" "יאנואר" 859
"180" "ככל" 858
"181" "ספרים" 858
"182" "בחו״ל" 857
"183" "המיניסטריום" 857
"184" "העת" 856
"185" "לחצי" 854
"186" "להשיב" 852
"187" "פעברואר" 852
"188" "יפה" 851
"189" "מלאכת" 849
"190" "הננו" 847
"191" "17" 846
"192" "החלו" 846
"193" "פאבריק" 846
"194" "חצי" 842
"195" "אויך" 841
"196" "בשפת" 841
"197" "ממנה" 839
"198" "נעשה" 839
"199" "העניים" 837
"200" "הדין" 836
"201" "יאמר" 836
"202" "בחוץ" 835
"203" "קורא" 835
"204" "אוכל" 834
"205" "עלו" 834
"206" "הרופאים" 833
"207" "פיר" 833
"208" "תלגרמות" 832
"209" "ראו" 831
"210" "הרעה" 829
"211" "לזה" 829
"212" "לרבע" 828
"213" "נשא" 828
"214" "חן" 827
"215" "הולך" 825
"216" "נקבל" 825
"217" "ואף" 822
"218" "העברים" 821
"219" "עיניו" 818
"220" "אות" 815
"221" "פאסט" 815
"222" "למצוא" 814
"223" "יעלה" 813
"224" "ההשכלה" 812
"225" "הודיע" 812
"226" "שלמה" 812
"227" "שיש" 811
"228" "29" 809
"229" "21" 808
"230" "שב" 808
"231" "דעצעמבר" 807
"232" "לעת" 807
"233" "בקול" 806
"234" "יצחק" 806
"235" "יעשה" 803
"236" "מאומה" 801
"237" "בשאר" 800
"238" "מקומה" 799
"239" "ההמון" 796
"240" "נמצאים" 796
"241" "המלוה" 795
"242" "יעשו" 795
"243" "הנכבד" 794
"244" "הכנסת" 793
"245" "עמד" 793
"246" "חג" 789
"247" "בנוגע" 787
"248" "מעות" 785
"249" "בעצמו" 784
"250" "אכל" 783
"251" "לונדון" 783
"252" "מארקען" 783
"253" "ענין" 783
"254" "לבקש" 778
"255" "אחדות" 776
"256" "שהם" 776
"257" "אדוני" 775
"258" "בדברים" 774
"259" "עמדו" 774
"260" "המו״ל" 773
"261" "כלו" 771
"262" "23" 769
"263" "לשים" 769
"264" "בטרם" 768
"265" "האחד" 768
"266" "האשה" 768
"267" "וכאשר" 768
"268" "נכונה" 767
"269" "22" 765
"270" "בעניני" 765
"271" "איין" 763
"272" "ידים" 762
"273" "לימים" 761
"274" "האדון" 757
"275" "לשמוע" 756
"276" "עמי" 756
"277" "28" 755
"278" "אליהם" 754
"279" "קטנים" 754
"280" "פרי" 753
"281" "ואך" 752
"282" "נומר" 752
"283" "ואיש" 750
"284" "שמות" 749
"285" "הטוב" 747
"286" "חיי" 746
"287" "עלים" 746
"288" "במכה״ע" 745
"289" "נשים" 745
"290" "עתי" 745
"291" "60" 744
"292" "מות" 744
"293" "19" 743
"294" "ואלה" 743
"295" "ב׳" 741
"296" "27" 740
"297" "ימצא" 740
"298" "אליה" 739
"299" "בענין" 739
"300" "קשה" 739
"301" "ווילהעלם" 738
"302" "80" 737
"303" "הלך" 735
"304" "המנוח" 734
"305" "ברכה" 733
"306" "רבו" 732
"307" "השוטרים" 730
"308" "כ״א" 730
"309" "לשון" 730
"310" "רואים" 728
"311" "הכבוד" 727
"312" "הנודע" 726
"313" "טובים" 726
"314" "הראשונים" 725
"315" "השמש" 725
"316" "אלינו" 723
"317" "היטב" 722
"318" "נאמן" 722
"319" "בידם" 721
"320" "ביניהם" 720
"321" "קטן" 720
"322" "נאוועמבר" 719
"323" "אלא" 717
"324" "יודעים" 717
"325" "ציון" 717
"326" "לבי" 716
"327" "בשר" 715
"328" "איפוא" 713
"329" "חכמת" 713
"330" "לאחדים" 712
"331" "כביר" 710
"332" "נמצאו" 710
"333" "בשלום" 709
"334" "קבל" 709
"335" "הוצאה" 703
"336" "מ״ע" 703
"337" "אחריו" 702
"338" "שנשלח" 701
"339" "בם" 700
"340" "חשבון" 700
"341" "מחירה" 700
"342" "מלאכה" 700
"343" "השער" 699
"344" "מסע" 699
"345" "דאללאר" 698
"346" "יוזל" 698
"347" "שטראססע" 698
"348" "חכמי" 696
"349" "ספק" 695
"350" "o" 694
"351" "ללכת" 694
"352" "לידי" 693
"353" "לפעמים" 693
"354" "עבודת" 691
"355" "מתקבלים" 690
"356" "והלאה" 689
"357" "חליפת" 689
"358" "הרוסי" 688
"359" "מאשר" 688
"360" "לקח" 687
"361" "מעשי" 687
"362" "משנת" 687
"363" "הרפואה" 686
"364" "עמל" 685
"365" "בי" 684
"366" "היושבים" 684
"367" "דת" 683
"368" "הידיעות" 682
"369" "באחד" 681
"370" "לשלם" 681
"371" "באין" 680
"372" "התפלה" 680
"373" "מושבים" 679
"374" "מאחינו" 678
"375" "עוז" 678
"376" "הספרים" 677
"377" "שאלה" 676
"378" "הכלל" 674
"379" "עפ״י" 674
"380" "אזי" 673
"381" "הרוח" 672
"382" "לכבוד" 672
"383" "רעהו" 672
"384" "שלח" 672
"385" "וספרותי" 671
"386" "עומד" 670
"387" "עשרים" 670
"388" "תוגרמה" 669
"389" "וע״כ" 668
"390" "מטעם" 668
"391" "התלמידים" 667
"392" "ענה" 666
"393" "ביתו" 665
"394" "דעם" 665
"395" "לאט" 665
"396" "לשם" 665
"397" "רוחו" 665
"398" "שעות" 665
"399" "דוד" 663
"400" "חוקי" 663
"401" "סוחרי" 662
"402" "השם" 661
"403" "חי" 661
"404" "ביז" 659
"405" "ג״כ" 659
"406" "ליטרא" 658
"407" "החולה" 657
"408" "החל" 655
"409" "חק" 654
"410" "לבעליהם" 654
"411" "וכה" 653
"412" "עברי" 652
"413" "אקטאבר" 651
"414" "ערבון" 650
"415" "אומרים" 649
"416" "במספר" 649
"417" "אחיו" 648
"418" "החג" 648
"419" "מאמר" 648
"420" "סופר" 648
"421" "עושה" 648
"422" "לישראל" 646
"423" "s" 645
"424" "העצר" 645
"425" "דעתו" 644
"426" "המשך" 643
"427" "ישיג" 643
"428" "מדיני" 643
"429" "אבי" 641
"430" "במדה" 641
"431" "ד׳" 641
"432" "העבודה" 641
"433" "לאל" 640
"434" "בפני" 639
"435" "החדשים" 639
"436" "נכבד" 639
"437" "האחרונות" 636
